case,sectioning,P(bar),T(K),X(CO2),vol[cm3/mol],y(H2O),y(CO2),Y_C,Y_O,Y_H,Y_N,Y_S,Y_Si,f(H2O),f(CO2),log[f(O2)],log[f(S2)],log[f(H2)],log[a(C)],epsilon
h2o_co2_hybrid_mrk,X(CO2)=0.000000,1000.0,373.15,0.0,44.48185,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,1.805024,1000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,2000.0,373.15,0.0,38.76848,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,3.197471,2000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,3000.0,373.15,0.0,36.02747,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,5.573469,3000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,4000.0,373.15,0.0,34.25055,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,9.588268,4000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,5000.0,373.15,0.0,32.94703,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,16.3128,5000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,6000.0,373.15,0.0,31.92309,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,27.48696,6000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,7000.0,373.15,0.0,31.0829,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,45.92171,7000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,8000.0,373.15,0.0,30.37231,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,76.13472,8000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,9000.0,373.15,0.0,29.75782,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,125.3511,9000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,10000.0,373.15,0.0,29.21729,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,205.0731,1e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,11000.0,373.15,0.0,28.73538,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,333.5319,1.1e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,12000.0,373.15,0.0,28.301,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,539.5063,1.2e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,13000.0,373.15,0.0,27.90593,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,868.2472,1.3e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,14000.0,373.15,0.0,27.54386,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,1390.641,1.4e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,15000.0,373.15,0.0,27.20989,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,2217.34,1.5e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,16000.0,373.15,0.0,26.9001,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,3520.483,1.6e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,17000.0,373.15,0.0,26.61136,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,5566.993,1.7e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,18000.0,373.15,0.0,26.34106,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,8769.477,1.8e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,19000.0,373.15,0.0,26.08709,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,13763.82,1.9e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,20000.0,373.15,0.0,25.84764,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,21527.2,2e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,1000.0,423.15,0.0,48.9173,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,8.036272,1000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,2000.0,423.15,0.0,41.07973,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,13.49224,2000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,3000.0,423.15,0.0,37.68393,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,22.26701,3000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,4000.0,423.15,0.0,35.57439,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,36.25529,4000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,5000.0,423.15,0.0,34.06474,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,58.37466,5000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,6000.0,423.15,0.0,32.89841,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,93.09504,6000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,7000.0,423.15,0.0,31.95293,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,147.2313,7000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,8000.0,423.15,0.0,31.16071,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,231.1256,8000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,9000.0,423.15,0.0,30.48072,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,360.405,9000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,10000.0,423.15,0.0,29.88623,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,558.5852,1e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,11000.0,423.15,0.0,29.35894,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,860.9175,1.1e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,12000.0,423.15,0.0,28.88576,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,1320.051,1.2e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,13000.0,423.15,0.0,28.45705,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,2014.347,1.3e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,14000.0,423.15,0.0,28.06548,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,3060.05,1.4e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,15000.0,423.15,0.0,27.70537,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,4629.061,1.5e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,16000.0,423.15,0.0,27.37224,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,6974.813,1.6e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,17000.0,423.15,0.0,27.06249,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,10469.87,1.7e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,18000.0,423.15,0.0,26.77318,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,15660.39,1.8e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,19000.0,423.15,0.0,26.50188,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,23344.92,1.9e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,20000.0,423.15,0.0,26.24657,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,34687.97,2e+16,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,1000.0,473.15,0.0,53.89009,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,24.00007,1000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,2000.0,473.15,0.0,43.47405,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,38.89227,2000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,3000.0,473.15,0.0,39.34281,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,61.84755,3000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,4000.0,473.15,0.0,36.87536,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,96.95463,4000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,5000.0,473.15,0.0,35.14985,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,150.2421,5000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,6000.0,473.15,0.0,33.83729,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,230.5641,6000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,7000.0,473.15,0.0,32.7852,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,350.8685,7000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,8000.0,473.15,0.0,31.91128,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,530.0117,8000000000000000.0,0.0,-4999.5,nan,0.0,1.0
h2o_co2_hybrid_mrk,X(CO2)=0.000000,9000.0,473.15,0.0,31.16634,1.0,0.0,0.0,0.3333333,0.6666667,0.0,0.0,0.0,795.3461,9000000000000000.0,0.0,-4999.5,nan,0.0,1.0
