T_C,P_kb,rho_model_gcm3,rho_truth_gcm3,drho_gcm3,eps_model,eps_truth,deps,G0_H2O_model_cal,G0_H2O_truth_cal,dG0_H2O_cal,G0_CO2_model_cal,G0_CO2_truth_cal,dG0_CO2_cal,G0_H+_model_cal,G0_H+_truth_cal,dG0_H+_cal,G0_HCO3-_model_cal,G0_HCO3-_truth_cal,dG0_HCO3-_cal,DeltaGro_model_cal,DeltaGro_truth_cal,dDeltaGro_cal,logK_model,logK_truth,dlogK,V0_H2O_model_cm3,V0_H2O_truth_cm3,dV0_H2O_cm3,V0_CO2_model_cm3,V0_CO2_truth_cm3,dV0_CO2_cm3,V0_H+_model_cm3,V0_H+_truth_cm3,dV0_H+_cm3,V0_HCO3-_model_cm3,V0_HCO3-_truth_cm3,dV0_HCO3-_cm3,DeltaVr_model_cm3,DeltaVr_truth_cm3,dDeltaVr_cm3
300,5,0.993323,0.993323,-7.45055e-08,33.9175,33.9175,-3.7182e-06,-60683.4,-60682.9,-0.478463,-99315.9,-99318.2,2.23676,0,0,0,-143647,-143644,-3.56008,16352.2,16357.5,-5.31837,-6.23519,-6.24138,0.00619524,18.1361,18.1364,-0.000280522,33.3987,33.3987,1.59763e-06,0,0,0,27.2275,27.2275,-2.54143e-06,-24.3073,-24.3076,0.000276383
350,5,0.962022,0.962022,2.98022e-07,29.2874,29.2874,1.34027e-05,-62043.7,-62043.2,-0.505787,-101550,-101552,2.10925,0,0,0,-144911,-144908,-3.35713,18682.9,18687.8,-4.96059,-6.55229,-6.55841,0.00611872,18.7262,18.7265,-0.000296855,34.2474,34.2474,-8.26075e-06,0,0,0,25.9577,25.9577,1.28818e-05,-27.0159,-27.0162,0.000317997
400,5,0.930277,0.930277,-2.23517e-07,25.385,25.385,-9.06577e-06,-63473.1,-63472.5,-0.540653,-103868,-103870,1.97785,0,0,0,-146147,-146144,-3.14802,21194.4,21199,-4.58522,-6.88098,-6.88707,0.00608708,19.3652,19.3655,-0.000296333,35.2929,35.2929,7.96268e-06,0,0,0,24.4112,24.4112,-1.19242e-05,-30.2469,-30.2472,0.000276446
450,5,0.898378,0.898378,-7.45055e-08,22.0765,22.0765,-2.72835e-06,-64964.6,-64964,-0.587531,-106272,-106273,1.84952,0,0,0,-147344,-147341,-2.94375,23892.2,23896.5,-4.20573,-7.22055,-7.22665,0.0060962,20.0528,20.0531,-0.00031001,36.579,36.579,3.39396e-06,0,0,0,22.5563,22.5563,-4.86344e-06,-34.0755,-34.0758,0.000301752
500,5,0.866601,0.866601,3.72528e-07,19.2611,19.2611,1.23329e-05,-66509.6,-66508.9,-0.654377,-108763,-108765,1.7236,0,0,0,-148493,-148490,-2.74317,26780.1,26783.9,-3.8124,-7.56989,-7.57603,0.0061361,20.7881,20.7884,-0.000332038,38.1545,38.1545,-2.15893e-05,0,0,0,20.3255,20.3255,2.98238e-05,-38.6171,-38.6175,0.000383451
550,5,0.835204,0.835204,7.45055e-08,16.8596,16.8596,2.23345e-06,-68099.7,-68098.9,-0.748142,-111346,-111347,1.59256,0,0,0,-149584,-149581,-2.5347,29861.5,29864.9,-3.37912,-7.92821,-7.9344,0.00619488,21.5696,21.5699,-0.000337171,40.0718,40.0718,-5.46284e-06,0,0,0,17.6252,17.6251,7.35616e-06,-44.0162,-44.0165,0.00034999
600,5,0.80442,0.80442,-2.23517e-07,14.8082,14.8082,-6.07822e-06,-69732,-69731.1,-0.857824,-114021,-114022,1.46069,0,0,0,-150607,-150605,-2.32509,33145.4,33148.3,-2.92796,-8.29614,-8.30241,0.0062763,22.395,22.3954,-0.000341854,42.3844,42.3844,2.06029e-05,0,0,0,14.3478,14.3478,-2.7344e-05,-50.4316,-50.4319,0.000293907
650,5,0.774454,0.774454,1.49011e-07,13.0541,13.0541,3.68347e-06,-71409.5,-71408.5,-0.96569,-116790,-116791,1.33562,0,0,0,-151554,-151552,-2.12563,36644.8,36647.3,-2.49556,-8.67524,-8.68163,0.00638744,23.2616,23.2619,-0.000366021,45.144,45.144,-1.71407e-05,0,0,0,10.3812,10.3811,2.26412e-05,-58.0244,-58.0248,0.000405803
700,5,0.745478,0.745478,2.23517e-07,11.5529,11.5529,5.0339e-06,-73134.3,-73133.3,-1.06676,-119653,-119654,1.20789,0,0,0,-152418,-152416,-1.92218,40369.3,40371.4,-2.06332,-9.06595,-9.07247,0.00652098,24.1657,24.1661,-0.000382844,48.3956,48.3956,-3.18159e-05,0,0,0,5.61721,5.61717,4.21689e-05,-66.9441,-66.9446,0.000456829
750,5,0.717629,0.717629,1.49011e-07,10.2672,10.2672,3.06499e-06,-74905.5,-74904.4,-1.16179,-122609,-122610,1.07818,0,0,0,-153193,-153191,-1.71582,44321.6,44323.3,-1.63221,-9.46713,-9.4738,0.00667422,25.1035,25.1039,-0.000395386,52.1736,52.1736,-2.59991e-05,0,0,0,-0.0357968,-0.0358316,3.47985e-05,-77.3129,-77.3133,0.000456184
