pH,log_a_Hplus,logfO2,converged,wlm_mol,assemblage_id,assemblage
8.0000,-8.0000,-16.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.0000,-8.0000,-14.2857,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.0000,-8.0000,-12.5714,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.0000,-8.0000,-10.8571,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.0000,-8.0000,-9.1429,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.0000,-8.0000,-7.4286,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.0000,-8.0000,-5.7143,0,nan,-1,
8.0000,-8.0000,-4.0000,0,nan,-1,
8.5714,-8.5714,-16.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.5714,-8.5714,-14.2857,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.5714,-8.5714,-12.5714,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.5714,-8.5714,-10.8571,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.5714,-8.5714,-9.1429,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.5714,-8.5714,-7.4286,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.5714,-8.5714,-5.7143,0,nan,-1,
8.5714,-8.5714,-4.0000,0,nan,-1,
9.1429,-9.1429,-16.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.1429,-9.1429,-14.2857,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.1429,-9.1429,-12.5714,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.1429,-9.1429,-10.8571,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.1429,-9.1429,-9.1429,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.1429,-9.1429,-7.4286,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.1429,-9.1429,-5.7143,0,nan,-1,
9.1429,-9.1429,-4.0000,0,nan,-1,
9.7143,-9.7143,-16.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.7143,-9.7143,-14.2857,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.7143,-9.7143,-12.5714,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.7143,-9.7143,-10.8571,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.7143,-9.7143,-9.1429,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.7143,-9.7143,-7.4286,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.7143,-9.7143,-5.7143,0,nan,-1,
9.7143,-9.7143,-4.0000,0,nan,-1,
10.2857,-10.2857,-16.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.2857,-10.2857,-14.2857,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.2857,-10.2857,-12.5714,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.2857,-10.2857,-10.8571,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.2857,-10.2857,-9.1429,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.2857,-10.2857,-7.4286,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.2857,-10.2857,-5.7143,0,nan,-1,
10.2857,-10.2857,-4.0000,0,nan,-1,
10.8571,-10.8571,-16.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.8571,-10.8571,-14.2857,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.8571,-10.8571,-12.5714,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.8571,-10.8571,-10.8571,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.8571,-10.8571,-9.1429,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.8571,-10.8571,-7.4286,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.8571,-10.8571,-5.7143,0,nan,-1,
10.8571,-10.8571,-4.0000,0,nan,-1,
11.4286,-11.4286,-16.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
11.4286,-11.4286,-14.2857,1,9.9999999999999998e-17,0,hem+q+cc+mag
11.4286,-11.4286,-12.5714,1,9.9999999999999998e-17,0,hem+q+cc+mag
11.4286,-11.4286,-10.8571,1,9.9999999999999998e-17,0,hem+q+cc+mag
11.4286,-11.4286,-9.1429,1,9.9999999999999998e-17,0,hem+q+cc+mag
11.4286,-11.4286,-7.4286,1,9.9999999999999998e-17,0,hem+q+cc+mag
11.4286,-11.4286,-5.7143,0,nan,-1,
11.4286,-11.4286,-4.0000,0,nan,-1,
12.0000,-12.0000,-16.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
12.0000,-12.0000,-14.2857,1,9.9999999999999998e-17,0,hem+q+cc+mag
12.0000,-12.0000,-12.5714,1,9.9999999999999998e-17,0,hem+q+cc+mag
12.0000,-12.0000,-10.8571,1,9.9999999999999998e-17,0,hem+q+cc+mag
12.0000,-12.0000,-9.1429,1,9.9999999999999998e-17,0,hem+q+cc+mag
12.0000,-12.0000,-7.4286,1,9.9999999999999998e-17,0,hem+q+cc+mag
12.0000,-12.0000,-5.7143,0,nan,-1,
12.0000,-12.0000,-4.0000,0,nan,-1,
