pH,log_a_Hplus,logfO2,converged,wlm_mol,assemblage_id,assemblage
8.0000,-8.0000,-18.0000,0,nan,-1,
8.0000,-8.0000,-14.5000,0,nan,-1,
8.0000,-8.0000,-11.0000,0,nan,-1,
8.0000,-8.0000,-7.5000,0,nan,-1,
8.0000,-8.0000,-4.0000,0,nan,-1,
9.0000,-9.0000,-18.0000,0,nan,-1,
9.0000,-9.0000,-14.5000,0,nan,-1,
9.0000,-9.0000,-11.0000,0,nan,-1,
9.0000,-9.0000,-7.5000,0,nan,-1,
9.0000,-9.0000,-4.0000,0,nan,-1,
10.0000,-10.0000,-18.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.0000,-10.0000,-14.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.0000,-10.0000,-11.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.0000,-10.0000,-7.5000,0,nan,-1,
10.0000,-10.0000,-4.0000,0,nan,-1,
11.0000,-11.0000,-18.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
11.0000,-11.0000,-14.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
11.0000,-11.0000,-11.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
11.0000,-11.0000,-7.5000,0,nan,-1,
11.0000,-11.0000,-4.0000,0,nan,-1,
12.0000,-12.0000,-18.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
12.0000,-12.0000,-14.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
12.0000,-12.0000,-11.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
12.0000,-12.0000,-7.5000,0,nan,-1,
12.0000,-12.0000,-4.0000,0,nan,-1,
