pH,log_a_Hplus,logfO2,converged,wlm_mol,assemblage_id,assemblage
6.0000,-6.0000,-24.0000,0,nan,-1,
6.0000,-6.0000,-21.7143,0,nan,-1,
6.0000,-6.0000,-19.4286,0,nan,-1,
6.0000,-6.0000,-17.1429,0,nan,-1,
6.0000,-6.0000,-14.8571,0,nan,-1,
6.0000,-6.0000,-12.5714,0,nan,-1,
6.0000,-6.0000,-10.2857,0,nan,-1,
6.0000,-6.0000,-8.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
6.7143,-6.7143,-24.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
6.7143,-6.7143,-21.7143,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
6.7143,-6.7143,-19.4286,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
6.7143,-6.7143,-17.1429,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
6.7143,-6.7143,-14.8571,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
6.7143,-6.7143,-12.5714,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
6.7143,-6.7143,-10.2857,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
6.7143,-6.7143,-8.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.4286,-7.4286,-24.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.4286,-7.4286,-21.7143,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.4286,-7.4286,-19.4286,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.4286,-7.4286,-17.1429,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.4286,-7.4286,-14.8571,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.4286,-7.4286,-12.5714,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.4286,-7.4286,-10.2857,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
7.4286,-7.4286,-8.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.1429,-8.1429,-24.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.1429,-8.1429,-21.7143,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.1429,-8.1429,-19.4286,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.1429,-8.1429,-17.1429,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.1429,-8.1429,-14.8571,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.1429,-8.1429,-12.5714,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.1429,-8.1429,-10.2857,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.1429,-8.1429,-8.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.8571,-8.8571,-24.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.8571,-8.8571,-21.7143,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.8571,-8.8571,-19.4286,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.8571,-8.8571,-17.1429,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.8571,-8.8571,-14.8571,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.8571,-8.8571,-12.5714,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.8571,-8.8571,-10.2857,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
8.8571,-8.8571,-8.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.5714,-9.5714,-24.0000,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.5714,-9.5714,-21.7143,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.5714,-9.5714,-19.4286,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.5714,-9.5714,-17.1429,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.5714,-9.5714,-14.8571,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.5714,-9.5714,-12.5714,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
9.5714,-9.5714,-10.2857,1,9.9999999999999998e-17,0,Znc+hem+q+cc+mag
