pH,log_a_Hplus,logfO2,converged,wlm_mol,assemblage_id,assemblage
7.0000,-7.0000,-20.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
7.0000,-7.0000,-16.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
7.0000,-7.0000,-13.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
7.0000,-7.0000,-9.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
7.0000,-7.0000,-6.0000,0,nan,-1,
8.2500,-8.2500,-20.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.2500,-8.2500,-16.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.2500,-8.2500,-13.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.2500,-8.2500,-9.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
8.2500,-8.2500,-6.0000,0,nan,-1,
9.5000,-9.5000,-20.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.5000,-9.5000,-16.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.5000,-9.5000,-13.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.5000,-9.5000,-9.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
9.5000,-9.5000,-6.0000,0,nan,-1,
10.7500,-10.7500,-20.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.7500,-10.7500,-16.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.7500,-10.7500,-13.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.7500,-10.7500,-9.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
10.7500,-10.7500,-6.0000,0,nan,-1,
12.0000,-12.0000,-20.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
12.0000,-12.0000,-16.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
12.0000,-12.0000,-13.0000,1,9.9999999999999998e-17,0,hem+q+cc+mag
12.0000,-12.0000,-9.5000,1,9.9999999999999998e-17,0,hem+q+cc+mag
12.0000,-12.0000,-6.0000,0,nan,-1,
