pH,log_a_Hplus,logfO2,converged,wlm_mol,wlm_present
2.0000,-2.0000,-36.0000,1,9.8749979336451883e+00,1
2.0000,-2.0000,-34.0000,1,9.8749979336451883e+00,1
2.0000,-2.0000,-32.0000,1,9.8749979336451883e+00,1
2.0000,-2.0000,-30.0000,1,9.8749979336451883e+00,1
2.0000,-2.0000,-28.0000,1,9.8749979336451883e+00,1
2.0000,-2.0000,-26.0000,1,9.8749979336451883e+00,1
2.0000,-2.0000,-24.0000,1,9.8749979336451883e+00,1
2.0000,-2.0000,-22.0000,1,9.8749979336451883e+00,1
2.0000,-2.0000,-20.0000,1,9.8749979336451883e+00,1
2.0000,-2.0000,-18.0000,1,9.8749979336451883e+00,1
2.0000,-2.0000,-16.0000,1,9.8749979336451883e+00,1
2.0000,-2.0000,-14.0000,1,9.8749979336451883e+00,1
2.0000,-2.0000,-12.0000,1,9.8749979336451883e+00,1
2.0000,-2.0000,-10.0000,1,9.8749979336451883e+00,1
2.5000,-2.5000,-36.0000,1,9.8749979336451883e+00,1
2.5000,-2.5000,-34.0000,1,9.8749979336451883e+00,1
2.5000,-2.5000,-32.0000,1,9.8749979336451883e+00,1
2.5000,-2.5000,-30.0000,1,9.8749979336451883e+00,1
2.5000,-2.5000,-28.0000,1,9.8749979336451883e+00,1
2.5000,-2.5000,-26.0000,1,9.8749979336451883e+00,1
2.5000,-2.5000,-24.0000,1,9.8749979336451883e+00,1
2.5000,-2.5000,-22.0000,1,9.8749979336451883e+00,1
2.5000,-2.5000,-20.0000,1,9.8749979336451883e+00,1
2.5000,-2.5000,-18.0000,1,9.8749979336451883e+00,1
2.5000,-2.5000,-16.0000,1,9.8749979336451883e+00,1
2.5000,-2.5000,-14.0000,1,9.8749979336451883e+00,1
2.5000,-2.5000,-12.0000,1,9.8749979336451883e+00,1
2.5000,-2.5000,-10.0000,1,9.8749979336451883e+00,1
3.0000,-3.0000,-36.0000,1,9.8749979336451883e+00,1
3.0000,-3.0000,-34.0000,1,9.8749979336451883e+00,1
3.0000,-3.0000,-32.0000,1,9.8749979336451883e+00,1
3.0000,-3.0000,-30.0000,1,9.8749979336451883e+00,1
3.0000,-3.0000,-28.0000,1,9.8749979336451883e+00,1
3.0000,-3.0000,-26.0000,1,9.8749979336451883e+00,1
3.0000,-3.0000,-24.0000,1,9.8749979336451883e+00,1
3.0000,-3.0000,-22.0000,1,9.8749979336451883e+00,1
3.0000,-3.0000,-20.0000,1,9.8749979336451883e+00,1
3.0000,-3.0000,-18.0000,1,9.8749979336451883e+00,1
3.0000,-3.0000,-16.0000,1,9.8749979336451883e+00,1
3.0000,-3.0000,-14.0000,1,9.8749979336451883e+00,1
3.0000,-3.0000,-12.0000,1,9.8749979336451883e+00,1
3.0000,-3.0000,-10.0000,1,9.8749979336451883e+00,1
3.5000,-3.5000,-36.0000,1,9.8749979336451883e+00,1
3.5000,-3.5000,-34.0000,1,9.8749979336451883e+00,1
3.5000,-3.5000,-32.0000,1,9.8749979336451883e+00,1
3.5000,-3.5000,-30.0000,1,9.8749979336451883e+00,1
3.5000,-3.5000,-28.0000,1,9.8749979336451883e+00,1
3.5000,-3.5000,-26.0000,1,9.8749979336451883e+00,1
3.5000,-3.5000,-24.0000,1,9.8749979336451883e+00,1
3.5000,-3.5000,-22.0000,1,9.8749979336451883e+00,1
3.5000,-3.5000,-20.0000,1,9.8749979336451883e+00,1
3.5000,-3.5000,-18.0000,1,9.8749979336451883e+00,1
3.5000,-3.5000,-16.0000,1,9.8749979336451883e+00,1
3.5000,-3.5000,-14.0000,1,9.8749979336451883e+00,1
