anchor,logfO2,converged,wlm_mol,wlm_present
AnchorA_T240_P1000_pH3_XCO2_0.3,-24.00,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-23.75,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-23.50,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-23.25,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-23.00,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-22.75,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-22.50,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-22.25,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-22.00,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-21.75,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-21.50,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-21.25,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-21.00,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-20.75,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-20.50,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-20.25,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-20.00,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-19.75,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-19.50,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-19.25,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-19.00,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-18.75,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-18.50,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-18.25,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-18.00,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-17.75,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-17.50,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-17.25,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-17.00,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-16.75,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-16.50,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-16.25,0,nan,0
AnchorA_T240_P1000_pH3_XCO2_0.3,-16.00,0,nan,0
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-24.00,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-23.75,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-23.50,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-23.25,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-23.00,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-22.75,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-22.50,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-22.25,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-22.00,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-21.75,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-21.50,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-21.25,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-21.00,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-20.75,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-20.50,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-20.25,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-20.00,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-19.75,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-19.50,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-19.25,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-19.00,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-18.75,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-18.50,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-18.25,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-18.00,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-17.75,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-17.50,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-17.25,1,9.8749979336451883e+00,1
AnchorB_T300_P2000_pH4.5_XCO2_0.3,-17.00,1,9.8749979336451883e+00,1
